no,"	info","	status","	version	","importance	","hardware	",my importance
569533,while loop bug if condition is not true anymore,NEW,4.18,P3 normal,PC Windows 10,M
569543,Can't create project fails,NEW,4.19,P3 blocker,Macintosh Mac OS X,VH
569413,"error: ""Evaluations must contain either an expression or a block of well-formed statements",NEW,4.18,P3 normal,PC Linux,M
569484,Java source code window does not redraw,NEW,4.17,P3 critical,Macintosh Mac OS X,VH
569486,InterruptedException when working with Java Debug View,NEW,4.18,P3 normal,PC Mac OS X,M
569475,[formatter] New annotations wrapping settings is reset every time,NEW,4.18,P3 normal,PC Linux,L
569387,Simple JUnit5 test fails with java.lang.NoClassDefFoundError: org/junit/platform/commons/util/ClassNamePatternFilterUtils,NEW,4.18,P3 normal,PC Windows 10,L
569471,Adding project to build path removes all exports,NEW,4.17,P3 normal,PC Linux,L
569495,JGit allows Push to update checked out branch (receive.denyCurrentBranch and receive.denyDeleteCurrent not implemented),NEW,unspecified,P3 normal,PC Windows 10,L
569430,Updates to CONTRIBUTING file add LICENSE,NEW,1.1,P3 normal,PC All,L
569366,Retire outdated Git repositories,NEW,unspecified,P3 normal,PC Linux,L
569527,PatternSearchJob calls unnecessary SubMonitor.done(progressMonitor);,NEW,4.14,P3 normal,PC Linux,L
569432,NPE in LifecycleMappingFactory.writeWorkspaceMetadata(),NEW,1.16.0,P3 normal,PC Mac OS X,M
569444,[16] Inner classes to have static members,NEW,4.18,P3 normal,All All,L
569385,ClassCastException in Sequence MoveSwitch,NEW,6.3.4,P3 normal,PC Mac OS X,L
569509,jUnit tests get stuck when the URL of the test repository is invalid,NEW,unspecified,P3 normal,PC Linux,M
569502,Parser hangs during completion / reconcile ?,NEW,unspecified,P3 normal,PC Linux,M
569528,API tools doesn't warn if a bundle does not exist in current baseline,NEW,4.18,P3 normal,PC Linux,L
569428,Run as JUnit Plug-in Test adds --limit-modules from .classpath,NEW,4.15,P3 normal,All All,L
569433,Cleanup execution environments,NEW,4.18,P3 normal,PC Windows 10,L
569535,Invalid certificate configuration on archive.eclipse.org,NEW,unspecified,P3 major,PC Windows 10,H
569371,Changing a launch configuration's shared file location to a nested project directory causes launch configuration to be lost,NEW,4.17,P3 normal,All All,L
569407,Committers involved in an Eclipse release should be mentioned in the About Dialog,NEW,4.17,P3 enhancement,All All,M
569427,Add new smoke test configurations for ubuntu 20.10,NEW,4.18,P3 normal,PC Windows 10,L
569439,ContextInjectionFactory.make() and garbage collection,NEW,4.17,P3 normal,All All,L
569546,"Provide ""Open Workspace"" menu item to launch multiple workspaces from Eclipse IDE",NEW,4.19,P3 enhancement,All All,M
569361,Support Big Sur (macOS 11),NEW,4.18,P3 normal,PC Mac OS X,L
569383,[WIN32] FocusIn listener on Text field does not select all text with selectAll call,NEW,4.17,P3 normal,PC Windows 10,M
569455,Screen keyboard not supported on SWT widgets,NEW,4.18,P3 normal,PC Linux,L
569468,[GTK3] SWT/GTK3 crash after opening windows,NEW,4.9,P3 critical,PC Linux,VH
569469,AbstractTreeViewer collapseAll() sets selection on first element on WIN,NEW,4.19,P3 normal,PC Windows 10,L
569494,[gtk][webkit]Code Content Assist Hangs In JDT,NEW,4.17,P3 normal,PC Linux,L
569529,[Cocoa] Link and multi-line Text hog CPU in dark theme,NEW,4.19,P3 normal,Macintosh Mac OS X,L
569456,Selecting emoji/character in Gnome search and then pasting in editor doesn't work,NEW,4.18,P3 normal,PC Linux,L
569375,Dark Mode/Theme UI Unusable in Ubuntu,NEW,4.17,P3 normal,PC Linux,L
569418,[Big Sur] inspect cannot display,NEW,4.18,P3 normal with 1 vote,PC Mac OS X,M
569421,Remove com.ibm.icu from org.eclipse.e4.rcp feature,NEW,4.17,P3 normal,PC Windows 10,L
569423,Improve / allign quick switches (CTRL+F6/ F7/F8) with Ctrl+3,NEW,4.17,P3 normal,PC Windows 10,L
569425,Add Child menu in e4 editor also for imports,NEW,4.17,P3 normal,PC Windows 10,L
569426,Model Spy : extract into fragment does not work,NEW,4.17,P3 normal,PC Mac OS X,M
569448,UI configuration gets overwritten resetting layout,NEW,4.18,P3 normal,PC Windows 10,M
569458,Umbrella Bug to record infrastructure issues during 4.19,NEW,4.19,P3 normal,PC Windows 10,L
569461,hangs on xhtml files,NEW,4.17,P3 major,PC Linux,M
569472,Cacheable HTTPS response,NEW,4.19,P3 normal,All All,L
569474,TLS cookie without secure flag set and Cookie without HttpOnly flag set,NEW,4.19,P3 normal,All All,L
569476,HTML does not specify charset,NEW,4.19,P3 normal,All All,L
569478,Cross-domain Referer leakage,NEW,4.19,P3 normal,All All,L
569480,"Some ""Search {pattern} in files"" in Show Action",NEW,4.19,P3 enhancement,All All,M
569497,Iportaing a project in the workspace folder uses the folder name instead of the .project file,NEW,4.19,P3 normal,PC Windows 7,L
569511,Preferences filter not working and rendering incorrectly MacOS BigSur,NEW,4.17,P3 major,Macintosh Mac OS X,H
569403,Using some style elements in Sequence Diagram raise an error,NEW,unspecified,P3 normal,PC Windows 10,M
569470,Drag and drop sub node into a container raise errors in ODTE 11.4,NEW,unspecified,P3 normal,PC Windows 10,M
569386,ClassCastException while deleting elements linked to a Note on a Sequence diagram,NEW,6.3.4,P3 normal,PC Mac OS X,M
569473,NPE in Copy format to existing/new diagram based on source to target semantic elements mapping,NEW,6.4.0,P3 normal,All All,M
569391,Invalid selection provided by CrossTables on domain based cells,NEW,6.3.4,P3 normal,PC Windows 10,L
569422,Uninterpreted Java extension service in odesign to fill a column of a Table representation,NEW,unspecified,P3 normal,PC Windows 10,L
569443,Command for getting the sources of a module,NEW,unspecified,P3 normal,PC Windows 10,L
569457,Add support for headless build and export of Titan Java projects,NEW,7.1.0,P3 enhancement,PC Windows 10,M
569520,Infinite loop when parsing invalid code,NEW,2.24,P3 normal,PC Windows 10,H
